frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T10:50:11.976,perf,runtime,,,,,,,,,,,,0.88,1.77,0.0,0.0,0.88,78.6,78.6,1,0.0,stabilizing 1/2,1,0,,,,0.859,586,567,586,567,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.859,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""}]"
9,2026-08-10T10:50:12.487,perf,runtime,,,,,,,,,,,,13.7,13.7,0.0,0.0,13.7,20.2,12.4,1,0.0,no depth,8,0,,,,0.852,584,568,586,567,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.852,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
18,2026-08-10T10:50:13.053,perf,runtime,,,,,,,,,,,,15.9,15.9,0.0,0.0,15.9,16.4,12.4,1,0.0,no depth,17,0,,,,0.881,586,568,586,567,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.88,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.881,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
25,2026-08-10T10:50:13.657,perf,runtime,,,,,,,,,,,,11.58,11.58,1.65,1.65,11.58,15.0,13.3,1,382.1,valid,24,1,True,64986,65932,0.865,585,567,586,567,-65.1,171.7,1007.0,1007.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.865,""qr"":"""",""valid"":true,""x_mm"":-65.1,""y_mm"":171.7,""z_mm"":1007.0,""status"":""valid""}]"
29,2026-08-10T10:50:14.226,perf,runtime,,,,,,,,,,,,7.03,7.03,0.0,0.0,7.03,14.6,12.5,1,950.8,valid,28,1,True,65510,66456,0.888,587,567,586,567,-65.1,171.7,1007.0,1007.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.89,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.888,""qr"":"""",""valid"":true,""x_mm"":-65.1,""y_mm"":171.7,""z_mm"":1007.0,""status"":""valid""}]"
32,2026-08-10T10:50:14.783,perf,runtime,,,,,,,,,,,,5.39,5.39,0.0,0.0,5.39,12.0,10.0,1,1507.5,stale depth 1491ms,31,1,,,,0.867,585,566,586,567,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.87,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.867,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stale depth 1491ms""}]"
38,2026-08-10T10:50:15.401,perf,runtime,,,,,,,,,,,,9.7,9.7,1.62,1.62,9.7,11.9,11.4,1,425.9,valid,37,2,True,65378,66982,0.848,584,565,585,567,-65.2,172.1,1009.0,1009.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.848,""qr"":"""",""valid"":true,""x_mm"":-65.2,""y_mm"":172.1,""z_mm"":1009.0,""status"":""valid""}]"
43,2026-08-10T10:50:15.920,perf,runtime,,,,,,,,,,,,9.63,9.63,0.0,0.0,9.63,11.6,14.4,1,945.3,valid,42,2,True,65378,66982,0.849,585,565,585,567,-65.2,172.1,1009.0,1009.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.849,""qr"":"""",""valid"":true,""x_mm"":-65.2,""y_mm"":172.1,""z_mm"":1009.0,""status"":""valid""}]"
46,2026-08-10T10:50:16.430,perf,runtime,,,,,,,,,,,,5.89,5.89,0.0,0.0,5.89,11.4,10.9,1,1455.0,valid,45,2,,,,0.842,584,567,585,567,-65.2,172.1,1009.0,1009.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.84,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.842,""qr"":"""",""valid"":true,""x_mm"":-65.2,""y_mm"":172.1,""z_mm"":1009.0,""status"":""valid""}]"
52,2026-08-10T10:50:17.015,perf,runtime,,,,,,,,,,,,10.25,10.25,1.71,1.71,10.25,11.4,12.2,1,383.3,valid,51,2,True,65894,66982,0.869,585,565,585,567,-65.4,171.3,1011.0,1011.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.87,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.869,""qr"":"""",""valid"":true,""x_mm"":-65.4,""y_mm"":171.3,""z_mm"":1011.0,""status"":""valid""}]"
