frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T15:47:21.578,perf,runtime,,,,,,,,,,,,0.87,0.87,0.0,0.0,0.87,35.5,35.5,3,0.0,stabilizing 1/2,1,0,,,,0.858,606,544,606,544,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.86;plastic bag:0.76;plastic bag:0.49,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.858,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""},{""idx"":2,""label"":""plastic bag"",""conf"":0.76,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":3,""label"":""plastic bag"",""conf"":0.493,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
10,2026-08-10T15:47:22.118,perf,runtime,,,,,,,,,,,,14.8,16.64,0.0,0.0,14.8,9.2,5.5,3,0.0,no depth,9,0,,,,0.852,605,543,605,543,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.85;plastic bag:0.79;plastic bag:0.64,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.852,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":2,""label"":""plastic bag"",""conf"":0.789,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":3,""label"":""plastic bag"",""conf"":0.641,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
19,2026-08-10T15:47:22.650,perf,runtime,,,,,,,,,,,,16.92,16.92,1.88,1.88,16.92,7.4,7.5,3,77.4,valid,18,1,True,59953,61950,0.85,605,543,605,543,-43.2,145.6,1009.0,1009.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85;plastic bag:0.72;plastic bag:0.52,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.85,""qr"":"""",""valid"":true,""x_mm"":-43.2,""y_mm"":145.6,""z_mm"":1009.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.718,""qr"":"""",""valid"":true,""x_mm"":134.4,""y_mm"":228.0,""z_mm"":928.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.517,""qr"":"""",""valid"":true,""x_mm"":160.0,""y_mm"":52.3,""z_mm"":1057.0,""status"":""secondary valid""}]"
27,2026-08-10T15:47:23.174,perf,runtime,,,,,,,,,,,,15.28,15.28,0.0,0.0,15.28,6.8,4.8,3,600.9,valid,26,1,True,60667,62667,0.848,605,543,605,543,-43.2,145.6,1009.0,1009.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85;plastic bag:0.78;plastic bag:0.42,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.848,""qr"":"""",""valid"":true,""x_mm"":-43.2,""y_mm"":145.6,""z_mm"":1009.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.779,""qr"":"""",""valid"":true,""x_mm"":133.6,""y_mm"":227.3,""z_mm"":929.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.415,""qr"":"""",""valid"":true,""x_mm"":154.6,""y_mm"":50.1,""z_mm"":1059.0,""status"":""secondary valid""}]"
31,2026-08-10T15:47:23.724,perf,runtime,,,,,,,,,,,,7.27,7.27,1.82,1.82,7.27,6.7,4.9,3,111.8,valid,30,2,True,61393,62667,0.857,605,542,605,543,-43.2,145.5,1008.0,1008.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86;plastic bag:0.78;plastic bag:0.63,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.857,""qr"":"""",""valid"":true,""x_mm"":-43.2,""y_mm"":145.5,""z_mm"":1008.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.778,""qr"":"""",""valid"":true,""x_mm"":134.4,""y_mm"":227.0,""z_mm"":928.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.632,""qr"":"""",""valid"":true,""x_mm"":161.6,""y_mm"":51.3,""z_mm"":1060.0,""status"":""secondary valid""}]"
36,2026-08-10T15:47:24.232,perf,runtime,,,,,,,,,,,,9.84,9.84,0.0,0.0,9.84,5.6,6.5,3,619.9,valid,35,2,True,61393,62667,0.853,605,544,605,543,-43.2,145.5,1008.0,1008.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85;plastic bag:0.71;plastic bag:0.58,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.853,""qr"":"""",""valid"":true,""x_mm"":-43.2,""y_mm"":145.5,""z_mm"":1008.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.713,""qr"":"""",""valid"":true,""x_mm"":132.4,""y_mm"":227.0,""z_mm"":928.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.583,""qr"":"""",""valid"":true,""x_mm"":158.0,""y_mm"":51.3,""z_mm"":1059.0,""status"":""secondary valid""}]"
41,2026-08-10T15:47:24.792,perf,runtime,,,,,,,,,,,,8.92,8.92,1.78,1.78,8.92,5.6,5.6,3,200.8,valid,40,2,True,61924,63176,0.846,605,543,605,543,-43.7,145.5,1008.0,1008.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.85;plastic bag:0.72;plastic bag:0.54,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.846,""qr"":"""",""valid"":true,""x_mm"":-43.7,""y_mm"":145.5,""z_mm"":1008.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.719,""qr"":"""",""valid"":true,""x_mm"":132.3,""y_mm"":226.8,""z_mm"":927.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.541,""qr"":"""",""valid"":true,""x_mm"":151.0,""y_mm"":50.1,""z_mm"":1058.0,""status"":""secondary valid""}]"
46,2026-08-10T15:47:25.506,perf,runtime,,,,,,,,,,,,7.0,7.0,0.0,0.0,7.0,5.7,7.5,3,915.2,valid,45,2,True,61425,62667,0.861,606,543,605,543,-43.7,145.5,1008.0,1008.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.86;plastic bag:0.76;plastic bag:0.62,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.861,""qr"":"""",""valid"":true,""x_mm"":-43.7,""y_mm"":145.5,""z_mm"":1008.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.762,""qr"":"""",""valid"":true,""x_mm"":134.3,""y_mm"":227.8,""z_mm"":927.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.616,""qr"":"""",""valid"":true,""x_mm"":159.7,""y_mm"":53.4,""z_mm"":1055.0,""status"":""secondary valid""}]"
51,2026-08-10T15:47:26.070,perf,runtime,,,,,,,,,,,,8.87,8.87,1.77,1.77,8.87,5.7,6.6,3,248.9,valid,50,2,True,60203,61446,0.865,606,544,606,543,-43.8,146.1,1008.5,1008.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.86;plastic bag:0.77;plastic bag:0.49,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.865,""qr"":"""",""valid"":true,""x_mm"":-43.8,""y_mm"":146.1,""z_mm"":1008.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.77,""qr"":"""",""valid"":true,""x_mm"":132.3,""y_mm"":227.8,""z_mm"":927.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.49,""qr"":"""",""valid"":true,""x_mm"":159.9,""y_mm"":52.3,""z_mm"":1056.0,""status"":""secondary valid""}]"
55,2026-08-10T15:47:26.609,perf,runtime,,,,,,,,,,,,7.42,7.42,0.0,0.0,7.42,5.9,7.3,3,788.1,valid,54,2,True,60203,61446,0.86,606,544,606,543,-43.8,146.1,1008.5,1008.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.86;plastic bag:0.77;plastic bag:0.62,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.86,""qr"":"""",""valid"":true,""x_mm"":-43.8,""y_mm"":146.1,""z_mm"":1008.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.774,""qr"":"""",""valid"":true,""x_mm"":132.3,""y_mm"":227.8,""z_mm"":927.0,""status"":""secondary valid""},{""idx"":3,""label"":""plastic bag"",""conf"":0.624,""qr"":"""",""valid"":true,""x_mm"":159.9,""y_mm"":52.3,""z_mm"":1056.0,""status"":""secondary valid""}]"
