frame,timestamp,type,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_u,center_v,depth_mm,x_mm,y_mm,z_mm,display_fps,rgb_rx_fps,depth_msg_rx_fps,depth_rx_fps,detect_fps,infer_ms,last_infer_ms,det_count,depth_age_ms,grasp_status,stable_frames,grasp_sample_count,raw_depth_valid,roi_valid_count,roi_total_count,primary_conf,raw_center_u,raw_center_v,smooth_center_u,smooth_center_v,grasp_x_mm,grasp_y_mm,grasp_z_mm,grasp_depth_mm,qr_texts,qr_live_count,qr_memory_count,qr_decode_ms,qr_source,qr_scan_mode,qr_scan_rois,qr_busy,raw_rgb_age_ms,det_summary,object_results
1,2026-08-10T16:56:50.957,perf,runtime,,,,,,,,,,,,0.84,1.67,0.0,0.0,0.84,32.4,32.4,2,0.0,stabilizing 1/2,1,0,,,,0.794,605,558,605,558,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.79;plastic bag:0.66,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.794,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""stabilizing 1/2""},{""idx"":2,""label"":""plastic bag"",""conf"":0.658,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
9,2026-08-10T16:56:51.465,perf,runtime,,,,,,,,,,,,15.77,13.8,0.0,0.0,15.77,9.2,5.0,2,0.0,no depth,9,0,,,,0.785,605,557,605,557,,,,,,0,0,0.0,,,0,0,0.0,plastic bag:0.78;plastic bag:0.69,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.785,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""},{""idx"":2,""label"":""plastic bag"",""conf"":0.689,""qr"":"""",""valid"":false,""x_mm"":"""",""y_mm"":"""",""z_mm"":"""",""status"":""no depth""}]"
14,2026-08-10T16:56:52.023,perf,runtime,,,,,,,,,,,,8.95,8.95,1.79,1.79,8.95,8.1,8.7,2,402.1,valid,14,1,True,70423,74980,0.797,606,556,606,557,-43.5,158.7,1015.0,1015.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.80;plastic bag:0.71,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.797,""qr"":"""",""valid"":true,""x_mm"":-43.5,""y_mm"":158.7,""z_mm"":1015.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.707,""qr"":"""",""valid"":true,""x_mm"":-661.6,""y_mm"":113.9,""z_mm"":1084.0,""status"":""secondary valid""}]"
19,2026-08-10T16:56:52.596,perf,runtime,,,,,,,,,,,,8.74,8.74,1.75,1.75,8.74,7.3,6.1,2,109.5,valid,19,2,True,70936,74654,0.804,605,557,606,557,-43.5,158.7,1015.0,1015.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.80;plastic bag:0.70,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.804,""qr"":"""",""valid"":true,""x_mm"":-43.5,""y_mm"":158.7,""z_mm"":1015.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.696,""qr"":"""",""valid"":true,""x_mm"":-662.7,""y_mm"":111.6,""z_mm"":1084.0,""status"":""secondary valid""}]"
31,2026-08-10T16:56:53.205,perf,runtime,,,,,,,,,,,,19.7,19.7,3.28,3.28,19.7,5.9,6.0,2,209.0,valid,31,2,True,70424,74328,0.784,606,558,606,558,-43.4,158.4,1013.5,1013.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.78;plastic bag:0.65,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.784,""qr"":"""",""valid"":true,""x_mm"":-43.4,""y_mm"":158.4,""z_mm"":1013.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.647,""qr"":"""",""valid"":true,""x_mm"":-661.6,""y_mm"":112.7,""z_mm"":1084.0,""status"":""secondary valid""}]"
36,2026-08-10T16:56:53.751,perf,runtime,,,,,,,,,,,,9.16,9.16,1.83,1.83,9.16,5.8,6.0,2,307.9,valid,36,2,True,70977,74883,0.804,605,557,605,557,-43.4,158.9,1013.0,1013.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.80;plastic bag:0.69,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.804,""qr"":"""",""valid"":true,""x_mm"":-43.4,""y_mm"":158.9,""z_mm"":1013.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.688,""qr"":"""",""valid"":true,""x_mm"":-661.0,""y_mm"":116.2,""z_mm"":1083.0,""status"":""secondary valid""}]"
41,2026-08-10T16:56:54.280,perf,runtime,,,,,,,,,,,,9.44,9.44,3.78,3.78,9.44,5.7,5.6,2,168.0,valid,41,2,True,70557,74883,0.795,605,556,605,557,-43.3,158.8,1012.0,1012.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.79;plastic bag:0.61,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.795,""qr"":"""",""valid"":true,""x_mm"":-43.3,""y_mm"":158.8,""z_mm"":1012.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.613,""qr"":"""",""valid"":true,""x_mm"":-661.0,""y_mm"":116.2,""z_mm"":1083.0,""status"":""secondary valid""}]"
46,2026-08-10T16:56:54.874,perf,runtime,,,,,,,,,,,,8.41,8.41,3.37,3.37,8.41,5.7,6.8,2,133.0,valid,46,2,True,71185,74883,0.798,605,557,605,557,-43.3,158.1,1011.0,1011.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.80;plastic bag:0.67,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.798,""qr"":"""",""valid"":true,""x_mm"":-43.3,""y_mm"":158.1,""z_mm"":1011.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.672,""qr"":"""",""valid"":true,""x_mm"":-661.6,""y_mm"":115.1,""z_mm"":1084.0,""status"":""secondary valid""}]"
48,2026-08-10T16:56:55.509,perf,runtime,,,,,,,,,,,,3.15,3.15,1.58,1.58,3.15,5.6,4.4,2,310.2,valid,48,2,True,70299,74883,0.779,605,558,605,557,-43.4,158.2,1012.0,1012.0,,0,0,0.0,,,0,0,0.0,plastic bag:0.78;plastic bag:0.71,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.779,""qr"":"""",""valid"":true,""x_mm"":-43.4,""y_mm"":158.2,""z_mm"":1012.0,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.709,""qr"":"""",""valid"":true,""x_mm"":-661.6,""y_mm"":111.6,""z_mm"":1084.0,""status"":""secondary valid""}]"
51,2026-08-10T16:56:56.108,perf,runtime,,,,,,,,,,,,5.01,6.67,1.67,1.67,5.01,5.5,5.6,2,346.9,valid,51,2,True,71185,74883,0.797,605,558,605,557,-43.4,158.3,1012.5,1012.5,,0,0,0.0,,,0,0,0.0,plastic bag:0.80;plastic bag:0.72,"[{""idx"":1,""label"":""plastic bag"",""conf"":0.797,""qr"":"""",""valid"":true,""x_mm"":-43.4,""y_mm"":158.3,""z_mm"":1012.5,""status"":""valid""},{""idx"":2,""label"":""plastic bag"",""conf"":0.715,""qr"":"""",""valid"":true,""x_mm"":-661.0,""y_mm"":117.4,""z_mm"":1083.0,""status"":""secondary valid""}]"
